City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,khorixas,-20.3667,14.9667,296.89,17,0,3.18,NA,1696190726
121,extrema,-22.8547,-46.3183,293.66,94,85,1.73,BR,1696190726
122,punta arenas,-53.15,-70.9167,278.21,60,40,11.32,CL,1696190727
123,muroto-misakicho,33.2833,134.15,294.24,67,12,3.78,JP,1696190727
124,melekeok village,7.4957,134.6367,300.7,82,71,1.76,PW,1696190727
125,najafabad,32.6344,51.3668,290.45,18,0,0.73,IR,1696190727
126,dali,25.7,100.1833,289.21,96,75,1.77,CN,1696190727
127,ad dawadimi,24.5077,44.3924,300.79,17,0,4.76,SA,1696190727
128,namibe,-15.1961,12.1522,292.37,80,1,0.54,AO,1696190727
129,qamdo,31.1667,97.2333,278.15,66,93,1.07,CN,1696190728
130,dalandzadgad,43.5708,104.425,286.41,21,70,3.04,MN,1696190728
131,haifa,32.8156,34.9892,299.38,67,100,5.16,IL,1696190728
132,dawson creek,55.7666,-120.2362,286.95,38,0,6.17,CA,1696190728
133,antofagasta,-23.65,-70.4,290.75,70,12,3.52,CL,1696190533
134,kangding,30.0513,101.9603,285.87,92,52,0.97,CN,1696190728
135,massakory,12.996,15.7293,305.7,34,100,3.36,TD,1696190728
136,iskateley,67.6803,53.1512,283.72,96,100,3.58,RU,1696190728
137,ribeira brava,32.65,-17.0667,298.15,75,2,2.04,PT,1696190729
138,moranbah,-22.0016,148.0466,288.65,97,22,3.67,AU,1696190729
139,angaur state,6.906,134.13,301.2,79,92,2.79,PW,1696190729
140,praia da vitoria,38.7333,-27.0667,294.29,73,20,3.13,PT,1696190729
141,lockwood,45.8191,-108.4149,286.71,66,100,2.57,US,1696190729
142,pangody,65.85,74.4859,276.31,100,100,3.7,RU,1696190729
143,flying fish cove,-10.4217,105.6791,296.97,88,75,5.14,CX,1696190730
144,isafjordur,66.0755,-23.124,279.45,94,100,8.4,IS,1696190730
145,tolanaro,-25.0319,46.9987,298.19,73,20,1.03,MG,1696190730
146,chibougamau,49.9168,-74.3659,292.16,42,12,3.19,CA,1696190513
147,pisco,-13.7,-76.2167,295.18,73,0,4.12,PE,1696190669
